epoch,train_loss,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,val_loss
1,0.6229446516718183,0.4502335488796234,0.9377378821372986,0.6939857006072998,0.5538386702537537,0.5312764644622803,0.8094413876533508,0.5002329067180031
2,0.5050227822150503,0.5020244121551514,0.9563517570495605,0.7291881442070007,0.6068623661994934,0.6044309139251709,0.8031054735183716,0.4586145036706799
3,0.45435844872679026,0.5624754428863525,0.9392128586769104,0.7508441209793091,0.6659696698188782,0.6620904803276062,0.8205798864364624,0.32560676914688785
4,0.37958572268486024,0.5653879046440125,0.9413968324661255,0.7533923387527466,0.6674364805221558,0.7115259170532227,0.762624979019165,0.33536457221366855
5,0.36464116899030546,0.5613831281661987,0.9274340867996216,0.7444086074829102,0.6643866300582886,0.6853222846984863,0.8042988181114197,0.31263186493398326
6,0.33972909418599945,0.5300948619842529,0.954616904258728,0.7423558831214905,0.6368603110313416,0.8118799328804016,0.6139811277389526,0.43369351298009096
7,0.3279187546457563,0.5871354341506958,0.9397388100624084,0.7634370923042297,0.6862056255340576,0.7449549436569214,0.7691019177436829,0.32256360352039337
8,0.3113571442450796,0.5767756104469299,0.9454250335693359,0.7611002922058105,0.6760533452033997,0.7049025297164917,0.8043698668479919,0.3232802070775314
9,0.29408516872142043,0.5874375104904175,0.9403903484344482,0.7639139294624329,0.6925693154335022,0.6635734438896179,0.8593093752861023,0.2868239380615322
10,0.2828525879446949,0.574614942073822,0.9356076121330261,0.7551112174987793,0.6816262602806091,0.6265491247177124,0.8958456516265869,0.28576258663088083
11,0.27806051401155335,0.555961549282074,0.943916380405426,0.74993896484375,0.6482731103897095,0.7975371479988098,0.697833240032196,0.3911086649780995
12,0.3026681079183306,0.6236119270324707,0.9545581340789795,0.7890850305557251,0.7255709767341614,0.721859872341156,0.8327299952507019,0.2632585679131903
13,0.2820162035418408,0.5798548460006714,0.9499685168266296,0.7649117112159729,0.6846507787704468,0.6496985554695129,0.8656792640686035,0.2871140650914688
14,0.2786063823210342,0.5881174206733704,0.9514689445495605,0.7697932124137878,0.6922193765640259,0.6485878825187683,0.8781324625015259,0.2797745467702809
15,0.2686294663697481,0.6317416429519653,0.9575299620628357,0.7946357727050781,0.7308127880096436,0.7684417366981506,0.790887713432312,0.27355302071296855
16,0.2589731955315386,0.5947856903076172,0.9372215867042542,0.7660036683082581,0.6991994380950928,0.6670364141464233,0.8737828731536865,0.2683716107551989
17,0.25981907116515296,0.6232079863548279,0.9457113742828369,0.78445965051651,0.724824070930481,0.7074203491210938,0.8541554808616638,0.2542692633639825
18,0.24787218312067644,0.6334888339042664,0.9555253386497498,0.7945070862770081,0.7336358428001404,0.7319476008415222,0.8341626524925232,0.26007134163458095
19,0.25547990671225956,0.6414884328842163,0.9643999934196472,0.8029442429542542,0.7381186485290527,0.8120595216751099,0.7579984068870544,0.28665154417486566
20,0.2735151002449649,0.6396336555480957,0.9610815644264221,0.8003575801849365,0.7398646473884583,0.7819890379905701,0.789677083492279,0.2705338438482661
21,0.2744139624387026,0.6167158484458923,0.9555980563163757,0.7861570119857788,0.7178529500961304,0.7010744214057922,0.8429739475250244,0.27341650642062487
22,0.2476466710546187,0.630124568939209,0.9421272873878479,0.786125898361206,0.7312309741973877,0.7084424495697021,0.8626567125320435,0.24706714717965378
23,0.24817617083234447,0.6351659893989563,0.9551969766616821,0.7951815128326416,0.7318925857543945,0.7898805141448975,0.7763599753379822,0.26943258438749534
24,0.2451629995341812,0.5894331336021423,0.946150541305542,0.7677919268608093,0.6930573582649231,0.6488164067268372,0.8849239945411682,0.2691743079768984
25,0.23273062519196952,0.636058509349823,0.9595377445220947,0.7977981567382812,0.7345950603485107,0.7424664497375488,0.8286440372467041,0.2541235278262512
26,0.23422115731452192,0.5977007746696472,0.9469218254089355,0.7723113894462585,0.6996427774429321,0.6705209016799927,0.8687609434127808,0.2694902228387563
27,0.25727606354015214,0.6101329326629639,0.943152666091919,0.7766427993774414,0.7125483155250549,0.7047561407089233,0.8469299077987671,0.26628960330823537
