epoch,train_loss,val_loss,val_iou,val_foreground_iou,val_global_foreground_iou,val_background_iou,val_miou,val_dice,val_global_dice,val_positive_iou,val_positive_dice,val_precision,val_recall,val_empty_specificity,val_empty_false_positive_rate,val_positive_images,val_empty_images,best_threshold
1,1.0086608087590763,0.8232128150415736,0.138497456908226,0.138497456908226,0.138497456908226,0.7147082090377808,0.426602840423584,0.24329864978790283,0.24329864978790283,0.11171421408653259,0.16746266186237335,0.14271874725818634,0.8240207433700562,0.8469240069389343,0.15307597815990448,222,79,0.5000000000000001
2,0.8880798282367842,0.7808827945333443,0.17541170120239258,0.17541170120239258,0.17541170120239258,0.842026948928833,0.5087193250656128,0.29846855998039246,0.29846855998039246,0.1591920554637909,0.24104107916355133,0.19747178256511688,0.6109262704849243,0.899209201335907,0.10079078376293182,222,79,0.6500000000000001
3,0.7894737102729934,0.696748314511697,0.35291507840156555,0.35291507840156555,0.35291507840156555,0.9362101554870605,0.6445626020431519,0.5217106342315674,0.5217106342315674,0.234273761510849,0.3417646288871765,0.4443173110485077,0.6317522525787354,0.982742428779602,0.017257580533623695,222,79,0.7500000000000002
4,0.742245141863823,0.6487162801998341,0.3967406451702118,0.3967406451702118,0.3967406451702118,0.943159818649292,0.6699502468109131,0.5680949687957764,0.5680949687957764,0.23443368077278137,0.3417164981365204,0.48931556940078735,0.6771088242530823,0.989174485206604,0.01082551758736372,222,79,0.8000000000000002
5,0.7398390815087728,0.6595165206501815,0.41631966829299927,0.41631966829299927,0.41631966829299927,0.953088641166687,0.6847041845321655,0.5878894329071045,0.5878894329071045,0.24832066893577576,0.363278865814209,0.5687342882156372,0.6083797812461853,0.9939873218536377,0.006012707948684692,222,79,0.8500000000000002
6,0.7156203058362007,0.5775562463611956,0.48450955748558044,0.48450955748558044,0.48450955748558044,0.957194983959198,0.720852255821228,0.6527537107467651,0.6527537107467651,0.30602842569351196,0.4361834228038788,0.5924333930015564,0.7267498970031738,0.9956957101821899,0.004304302856326103,222,79,0.9000000000000002
7,0.7059436902403832,0.6015253499248959,0.43432581424713135,0.43432581424713135,0.43432581424713135,0.9401674270629883,0.6872466206550598,0.6056166291236877,0.6056166291236877,0.28989312052726746,0.41283881664276123,0.4782949686050415,0.8253147006034851,0.9903103113174438,0.009689689613878727,222,79,0.9000000000000002
8,0.6832225930052144,0.7559767367429291,0.4530012309551239,0.4530012309551239,0.4530012309551239,0.9579432010650635,0.7054722309112549,0.6235386729240417,0.6235386729240417,0.2812538146972656,0.4011308550834656,0.6148843169212341,0.6324401497840881,0.9964539408683777,0.0035460542421787977,222,79,0.5500000000000002
9,0.6743131876417569,0.5946236763963636,0.4786510765552521,0.4786510765552521,0.4786510765552521,0.957243025302887,0.7179470658302307,0.6474158763885498,0.6474158763885498,0.2938723564147949,0.412340372800827,0.5951365232467651,0.7097645998001099,0.9964845180511475,0.0035154814831912518,222,79,0.9000000000000002
10,0.6392749300386225,0.5573945159943688,0.47001785039901733,0.47001785039901733,0.47001785039901733,0.9552848935127258,0.7126513719558716,0.6394723057746887,0.6394723057746887,0.31130823493003845,0.43610966205596924,0.5772479772567749,0.7167323231697083,0.9895997643470764,0.010400258004665375,222,79,0.9000000000000002
11,0.68169102240886,0.5869291933956525,0.4799406826496124,0.4799406826496124,0.4799406826496124,0.9596454501152039,0.7197930812835693,0.6485944986343384,0.6485944986343384,0.2998838424682617,0.4222415089607239,0.6244663596153259,0.6746621131896973,0.9964634776115417,0.0035365347284823656,222,79,0.8500000000000002
