epoch,train_loss,val_loss,val_iou,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,best_threshold
1,0.4868305824980604,0.3675833809102187,0.552030248097132,0.552030248097132,0.9687387199373916,0.7603844822151586,0.6516149231564365,0.7027349636485588,0.7518809338465734,0.9000000000000002
2,0.3451907203838899,0.3364016184641514,0.6119003883876846,0.6119003883876846,0.9628802416846156,0.787390316138044,0.7061965781112209,0.732170859702837,0.8165397895860895,0.9000000000000002
3,0.2998614600089388,0.32990834992961027,0.5751018286653627,0.5751018286653627,0.9685472366400063,0.7718245314899832,0.6757371897372717,0.6902678714511481,0.7996959649055013,0.7500000000000002
4,0.31101711550953065,0.29311453123227693,0.6305503211847412,0.6305503211847412,0.9686359965708107,0.7995931564364582,0.7287944950953846,0.7504912498770273,0.7989813811476775,0.7500000000000002
5,0.2984572792161501,0.2964698622818105,0.6275694843017836,0.6275694843017836,0.968783549265936,0.7981765172444284,0.7286675023089619,0.7359635692860441,0.8131831360675876,0.7500000000000002
6,0.28791539248556003,0.291350863117259,0.6442582717355236,0.6442582717355236,0.9681245065294206,0.8061913896817714,0.7399582474682376,0.7759089044459293,0.8030256665422704,0.9000000000000002
7,0.29354136911539885,0.2935045266349334,0.6233654299672466,0.6233654299672466,0.9676403921330348,0.7955029122531414,0.7239137215752394,0.7324073657726514,0.8048875569965055,0.9000000000000002
8,0.2882429681176958,0.3066731622966472,0.6039210558223341,0.6039210558223341,0.9667134480550885,0.7853172526229173,0.7060940888181132,0.721011581014938,0.8035857704820351,0.8500000000000002
9,0.2794997904024322,0.30298716004472226,0.6189557016581733,0.6189557016581733,0.969660033704713,0.7943078668322414,0.7205212747898387,0.7362650787796869,0.806483068475756,0.5500000000000002
10,0.27353510938610587,0.2805635791301029,0.6412123291213709,0.6412123291213709,0.9683242201572284,0.8047682766336948,0.7390328530584873,0.7497511174996013,0.8142660145276924,0.8000000000000002
