epoch,train_loss,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,val_loss
1,0.5428662755659648,0.4494953453540802,0.9073713421821594,0.6784334182739258,0.5503870844841003,0.500632107257843,0.8728430867195129,0.41621786473613037
2,0.4075248855778149,0.5624862909317017,0.9348277449607849,0.7486569881439209,0.6637228727340698,0.6854763627052307,0.7953256964683533,0.33012539226757853
3,0.3512485239122595,0.5696957111358643,0.9390915632247925,0.7543936967849731,0.6647019386291504,0.7449532151222229,0.7424241304397583,0.34572388315083163
4,0.3406958461659295,0.5975072979927063,0.9451113343238831,0.7713093757629395,0.6988438367843628,0.7278896570205688,0.7819619178771973,0.3099041017948797
5,0.32517697896276204,0.5789905190467834,0.9401029944419861,0.7595467567443848,0.6817950010299683,0.6704524755477905,0.8418641090393066,0.30053248874058847
6,0.30147690850709163,0.6080800890922546,0.953854501247406,0.7809673547744751,0.7082709074020386,0.7512414455413818,0.7699161767959595,0.31154272876875966
7,0.28130513689347675,0.6245013475418091,0.945704996585846,0.7851032018661499,0.7252718210220337,0.7477999329566956,0.7999868392944336,0.27606164487568957
8,0.2855682679052864,0.6108768582344055,0.9486641883850098,0.77977055311203,0.7126214504241943,0.7002992630004883,0.837791383266449,0.278718017482836
9,0.28396808271961554,0.6067805886268616,0.9470673203468323,0.7769238948822021,0.7096203565597534,0.6923267841339111,0.8401774168014526,0.27895217584936244
10,0.2824002758839301,0.5889173746109009,0.9430273175239563,0.7659723162651062,0.6910192966461182,0.6761940717697144,0.8521198034286499,0.286862639906375
11,0.26532575743538994,0.5984672904014587,0.9361906051635742,0.7673289775848389,0.7026060819625854,0.6694447994232178,0.8698513507843018,0.27190051619943817
12,0.2702303855174354,0.6276427507400513,0.9487443566322327,0.7881935834884644,0.7292664051055908,0.7211105227470398,0.8410084843635559,0.2588883794255947
13,0.2502097551777427,0.6157416701316833,0.938511848449707,0.7771267890930176,0.7198836803436279,0.6949132084846497,0.8598238229751587,0.26756785452169807
14,0.254691003454583,0.6113842129707336,0.935447096824646,0.773415744304657,0.7128798961639404,0.6986526250839233,0.8461858034133911,0.26870853522498356
15,0.24496551757944482,0.6249437928199768,0.9427322745323181,0.7838380336761475,0.7268775105476379,0.716231107711792,0.8504780530929565,0.2637547514842529
16,0.2355077241840107,0.6369486451148987,0.9478745460510254,0.7924116253852844,0.7373483180999756,0.742946445941925,0.8305017948150635,0.25826265613891575
17,0.24952369113053594,0.6348916888237,0.9445799589157104,0.7897357940673828,0.7368637323379517,0.7208954095840454,0.8552669882774353,0.25391286023353277
18,0.22899260081616896,0.6452715396881104,0.9556064605712891,0.8004390597343445,0.7457789182662964,0.7321534156799316,0.8539801836013794,0.24706967939671717
19,0.22754903892321246,0.6486515402793884,0.9459295272827148,0.7972905039787292,0.7492014765739441,0.7689390182495117,0.8201860189437866,0.2528235837572107
20,0.22170493040233852,0.6417827010154724,0.9517347812652588,0.7967587113380432,0.7412499189376831,0.752230703830719,0.8221784830093384,0.26069946209655
21,0.22921997818563666,0.6319912672042847,0.9475022554397583,0.7897467613220215,0.7329298257827759,0.7242879867553711,0.8457268476486206,0.2603198020277839
22,0.22933931158123805,0.6315749287605286,0.9483224749565125,0.7899486422538757,0.7336673140525818,0.694322407245636,0.8822828531265259,0.2487146293156241
23,0.21500797782558947,0.6404643654823303,0.9423257112503052,0.7913950085639954,0.7415122389793396,0.7313797473907471,0.8529520034790039,0.24943119811972506
