epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,best_threshold
1,0.6420069098554922,0.4619125226017786,0.5069404625101015,0.6062993144150823,0.6805696077644825,0.6989803202450275,0.9000000000000002
2,0.47145118621996096,0.42946742792992154,0.5156740245874971,0.6185714257881045,0.6375037794932723,0.7803648803383112,0.9000000000000002
3,0.4035180589976561,0.3627708795347644,0.5596865364350379,0.6627062391489744,0.6873414479196072,0.7835022690705955,0.6500000000000001
4,0.3602306965612472,0.32633503439365086,0.5870226146653295,0.6870514433830976,0.7209125431254506,0.777844148222357,0.6500000000000001
5,0.3334719229757127,0.33080754765603615,0.5940655074082315,0.6967555652372539,0.7287596305832267,0.7859493605792522,0.9000000000000002
6,0.3174621005316177,0.31441415856477306,0.5894930423237383,0.6904674042016268,0.7340377643704414,0.7769365329295397,0.9000000000000002
7,0.3176048798705271,0.34105319082343044,0.59928291849792,0.6977024981752038,0.7597792115993798,0.7645064322277904,0.40000000000000013
8,0.29534685167159824,0.32610849914215123,0.6222758600488305,0.7191783655434847,0.7734259264543653,0.7759695039130747,0.6000000000000002
9,0.2891531390863476,0.3060078691577246,0.6376695693470538,0.7364972434006631,0.7757095242850482,0.7943940395489335,0.9000000000000002
10,0.2658460920088724,0.29423116273380856,0.6266115047037601,0.7271483866497874,0.7223758022300899,0.8357712160795927,0.9000000000000002
11,0.27181612464820565,0.2899682079448951,0.6427986919879913,0.7416709465906024,0.7626438536681235,0.8140788427554071,0.8000000000000002
12,0.26730024053210916,0.29914407348411487,0.6418544377665967,0.7408928722143173,0.8110571755096316,0.7719809012487531,0.7000000000000002
13,0.26222080452681534,0.27761858382920934,0.6570675875991583,0.7551794690079987,0.7750360430218279,0.818704632576555,0.8500000000000002
14,0.24950071255347142,0.27027818809088444,0.6531551252119243,0.7491075973957777,0.7625614763237536,0.8276096256449819,0.7500000000000002
15,0.24023545332586146,0.2703557606465097,0.6480101454071701,0.7457547280937433,0.7766876621171832,0.8100058604031801,0.7000000000000002
16,0.24201598223839058,0.26936413277110205,0.6637302055023611,0.7598659414798021,0.7894409708678722,0.8140295422635972,0.6000000000000002
17,0.23374955277974865,0.2671400731394158,0.656271283980459,0.7505808034911752,0.7687927447259426,0.8291461486369371,0.8500000000000002
18,0.2371453632667657,0.26685511215085,0.6610554321669042,0.755518636200577,0.7980609741061926,0.8062903173267841,0.9000000000000002
19,0.2281791391899521,0.272748823981523,0.6748709413222969,0.7686353656463325,0.7979732742533088,0.817009974271059,0.7500000000000002
20,0.2206875300832422,0.26108731975449473,0.6858021290972829,0.7794060842134058,0.7874040259048343,0.842667780816555,0.9000000000000002
21,0.23210741256174594,0.27989455608069846,0.6922199237160385,0.7851696079596877,0.8046417296864092,0.8297307593747973,0.6000000000000002
22,0.2355375099999223,0.27032029641584643,0.6769502726383507,0.7702664844691753,0.7781720170751214,0.8424767628312111,0.7500000000000002
23,0.2181315007696741,0.26149878874829824,0.6652025175280869,0.7599790906533599,0.7617089664563537,0.8494878858327866,0.5500000000000002
24,0.2083539604559695,0.25308656863163037,0.6785471490584314,0.7714825943112373,0.7759829061105847,0.8470359006896615,0.9000000000000002
25,0.21182375607075613,0.24737956416960571,0.6569839646108449,0.7516902084462345,0.7382722557522357,0.8645852711051702,0.9000000000000002
26,0.21188868828593618,0.25000824583672454,0.693120242562145,0.7860209024511278,0.8045571008697152,0.8340208567678928,0.8500000000000002
27,0.20301028008521796,0.2502909207929349,0.6852362076751888,0.7767692059278488,0.7844395292922854,0.8455060934647918,0.9000000000000002
28,0.20687387744655705,0.2383004497672303,0.7074569663964212,0.7986924163997173,0.8272302858531475,0.8285619914531708,0.9000000000000002
29,0.19371578796333838,0.2626965312978342,0.6936061009764671,0.7853520400822163,0.7898810468614101,0.851033772341907,0.45000000000000007
30,0.19238371768122467,0.24931197633389957,0.6767008900642395,0.7701632734388113,0.7545299846678972,0.8689995836466551,0.9000000000000002
