epoch,train_loss,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,val_loss
1,0.8240117010048458,0.08790484815835953,0.5709717869758606,0.3294382691383362,0.1262577474117279,0.09977250546216965,0.7015479207038879,0.8193500661536267
2,0.7994162447111948,0.12884728610515594,0.6792584657669067,0.4040529131889343,0.17088940739631653,0.15656250715255737,0.7447710633277893,0.7724088944102588
3,0.7912434637546539,0.11578631401062012,0.7739014029502869,0.4448438286781311,0.1665700525045395,0.13876956701278687,0.6842348575592041,0.7733296932358491
4,0.7843650833198003,0.13577185571193695,0.7655017971992493,0.4506368637084961,0.18699771165847778,0.16531920433044434,0.7274417281150818,0.7443662332861047
5,0.803531516620091,0.1541839987039566,0.8216694593429565,0.4879266917705536,0.1935775727033615,0.21731039881706238,0.5264968872070312,0.7967044232707274
6,0.7981923253195626,0.11543560028076172,0.7245068550109863,0.419971227645874,0.1662452518939972,0.12831585109233856,0.7822796106338501,0.7576582478849512
7,0.7805561697483063,0.13464225828647614,0.7771762609481812,0.45590925216674805,0.18817144632339478,0.16295106709003448,0.7350032925605774,0.7544161614618803
8,0.7756802788802556,0.08022606372833252,0.6069228053092957,0.3435744345188141,0.12670308351516724,0.10285092890262604,0.7457008361816406,0.8470297314618763
9,0.8172652229240962,0.10699021816253662,0.7970969080924988,0.4520435631275177,0.15709085762500763,0.15486523509025574,0.6234051585197449,0.804849048978404
10,0.8067723870277405,0.1907125860452652,0.7645686268806458,0.4776405990123749,0.22308990359306335,0.408181369304657,0.5135392546653748,0.837831332495338
11,0.7922526316983359,0.10917212069034576,0.7650392055511475,0.437105655670166,0.1627863496541977,0.1261174976825714,0.7552288770675659,0.7499522606008932
12,0.7892895487376622,0.09742730110883713,0.6470745205879211,0.37225088477134705,0.146281898021698,0.10532255470752716,0.8324792981147766,0.7699983308189794
13,0.7822959569522313,0.10307250916957855,0.7238233685493469,0.41344794631004333,0.15363401174545288,0.11483889818191528,0.7939612865447998,0.7483284512632772
