epoch,train_loss,val_loss,val_iou,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,best_threshold
1,0.570785974558875,0.444232742767781,0.5026571387425065,0.5026571387425065,0.9589370395988226,0.7307970924302936,0.606316567864269,0.6643239371478558,0.718449950683862,0.8500000000000002
2,0.43063856620156304,0.39256904763169587,0.5092818201519549,0.5092818201519549,0.9642508057877421,0.736766317859292,0.6127830455079675,0.6411454267799854,0.750183118507266,0.8500000000000002
3,0.3699128269861087,0.32116485896985125,0.5877231687773019,0.5877231687773019,0.9644694607704878,0.7760963160544634,0.6855816636234522,0.7262504361569881,0.7705565844662488,0.8500000000000002
4,0.33266018899106187,0.3229170219157851,0.5975059298798442,0.5975059298798442,0.9651910811662674,0.7813485069200397,0.6974646160379052,0.7454576292075217,0.7559613115154207,0.6500000000000001
5,0.3248213937825096,0.33130076345987547,0.5860084854066372,0.5860084854066372,0.9554350841790438,0.7707217819988728,0.6889505437575281,0.6805380694568157,0.8208836591802537,0.9000000000000002
6,0.31393508509686474,0.29959087450988586,0.6075556613504887,0.6075556613504887,0.9607995757833123,0.7841776181012392,0.7101960950531065,0.7308840956538916,0.78833436826244,0.8000000000000002
7,0.30144508329132647,0.28727107879240066,0.6152768870815635,0.6152768870815635,0.9628735417500138,0.7890752106904984,0.7135569751262665,0.7801183955743909,0.7431657779961824,0.9000000000000002
8,0.28795529723949526,0.3021020374960699,0.6077506861183792,0.6077506861183792,0.9561290815472603,0.7819398855790496,0.709171898663044,0.7459129146300256,0.7779791429638863,0.9000000000000002
9,0.2830811371995929,0.2755981785710901,0.6324554039165378,0.6324554039165378,0.9621517285704613,0.7973035639151931,0.7321586296893656,0.7989037893712521,0.7541268151253462,0.8500000000000002
10,0.27846806340989816,0.31947246938943863,0.6144771766848862,0.6144771766848862,0.9531456734985113,0.7838114257901907,0.7108641564846039,0.7955946894362569,0.7506507616490126,0.9000000000000002
11,0.2716227022478182,0.2733377639669925,0.6305964281782508,0.6305964281782508,0.957623434253037,0.7941099293529987,0.7330576619133353,0.7295168675482273,0.8242348860949278,0.9000000000000002
12,0.26919343510548743,0.2846787558868513,0.6254032733850181,0.6254032733850181,0.9524702150374651,0.78893674723804,0.7264694427140057,0.7532083857804537,0.7950529879890382,0.9000000000000002
13,0.268396182983949,0.2697675386792979,0.6306089996360242,0.6306089996360242,0.9585479227825999,0.7945784637704492,0.7318194066174328,0.739725143648684,0.8140545561909676,0.9000000000000002
14,0.25860099456381075,0.28097930441144836,0.6143872286193073,0.6143872286193073,0.968359787017107,0.7913735117763281,0.7164684953168035,0.7322648065164685,0.8028039941564202,0.9000000000000002
15,0.2587032677471967,0.2877989636035636,0.6097680227831006,0.6097680227831006,0.9566404595971107,0.7832042407244444,0.713535959366709,0.730460355989635,0.8009989988058805,0.9000000000000002
16,0.2521677789129111,0.25432035364210603,0.6503897258080542,0.6503897258080542,0.9600561084225774,0.8052229164168239,0.750046115834266,0.7655661627650261,0.8115986958146095,0.7500000000000002
17,0.2365514523586392,0.25753729734569786,0.6434605158865452,0.6434605158865452,0.9528833534568548,0.7981719309464097,0.7441571690142155,0.7605028031393886,0.8115129973739386,0.9000000000000002
18,0.2421478064761636,0.2591352863237262,0.6471413969993591,0.6471413969993591,0.9622283615171909,0.8046848773956299,0.7469363696873188,0.7643206212669611,0.8083063717931509,0.9000000000000002
19,0.23281921415965365,0.25594988954253495,0.6571176392026246,0.6571176392026246,0.9662833018228412,0.8117004670202732,0.756340991705656,0.7986125396564603,0.7835313128307462,0.9000000000000002
20,0.23175285422135125,0.2507380853407084,0.6611893018707633,0.6611893018707633,0.9624315351247787,0.8118104198947549,0.7594781666994095,0.7884913017041981,0.8061785027384758,0.9000000000000002
21,0.22891941568839946,0.25538847502321005,0.6492311106994748,0.6492311106994748,0.9676415687426925,0.8084363397210836,0.7481759185902774,0.7486386583186686,0.8284145472571254,0.9000000000000002
22,0.23457442058342926,0.25163516018074006,0.657899078913033,0.657899078913033,0.9607232417911291,0.8093111626803875,0.7554216212593019,0.7942193057388067,0.7993905786424875,0.6000000000000002
23,0.22472879595704665,0.24697770837228727,0.6609109179116786,0.6609109179116786,0.9573628874495625,0.809136894531548,0.7600606731139123,0.7972169555723667,0.8020716598257422,0.8500000000000002
24,0.22412319121707375,0.25194133920595085,0.6485523353330791,0.6485523353330791,0.9615342197939754,0.8050432773306966,0.7482681181281805,0.730003606993705,0.8510302640497684,0.9000000000000002
25,0.22300140109150837,0.23245521001517772,0.6705576591193676,0.6705576591193676,0.9652592176571488,0.8179084323346615,0.7676599081605673,0.7757067112252116,0.8180626276880503,0.8000000000000002
26,0.2246867250445304,0.24546904349708143,0.6583571354858577,0.6583571354858577,0.9585209246724844,0.8084390284493566,0.7555660670623183,0.7775177350267768,0.8092370731756091,0.9000000000000002
27,0.21196616472913085,0.2552886990713887,0.6656921613030136,0.6656921613030136,0.9617525832727551,0.8137223701924086,0.7627851469442248,0.7817633422091603,0.8114092499017715,0.45000000000000007
28,0.2251321092384317,0.24531675304751843,0.6688272878527641,0.6688272878527641,0.9601667718961835,0.81449702847749,0.764249462634325,0.7865184708498418,0.8193622436374426,0.9000000000000002
29,0.2178975179404257,0.24083520264830405,0.6702771475538611,0.6702771475538611,0.9674309408292174,0.8188540413975716,0.7672435566782951,0.7887390647083521,0.8074832879938185,0.8500000000000002
30,0.21858273438841763,0.24716279753483827,0.6695416369475424,0.6695416369475424,0.9639643663540483,0.816753001883626,0.7657877188175917,0.8027668539434671,0.8030941183678806,0.8000000000000002
