epoch,train_loss,val_foreground_iou,val_background_iou,val_miou,val_dice,val_precision,val_recall,val_loss
1,0.6012466428961073,0.4806322753429413,0.9238631129264832,0.7022476196289062,0.5736360549926758,0.5870966911315918,0.7884242534637451,0.4245061825372671
2,0.4546983439581735,0.5326138734817505,0.9454089403152466,0.7390114665031433,0.6329701542854309,0.6217031478881836,0.8121277093887329,0.36347555114250435
3,0.39212914977754865,0.5199140906333923,0.9168664813041687,0.7183903455734253,0.619797945022583,0.5842561721801758,0.8738366961479187,0.3444930681174523
4,0.3645863224565983,0.5656322240829468,0.9348960518836975,0.7502641081809998,0.6650466322898865,0.7039569616317749,0.7724568247795105,0.3328057620184202
5,0.34355940895421166,0.5593164563179016,0.9272094964981079,0.7432629466056824,0.6557233929634094,0.6846423149108887,0.7917943596839905,0.32956887828186154
6,0.33473609279309,0.5752943754196167,0.9400882124900818,0.7576912641525269,0.6765050888061523,0.6630847454071045,0.8370003700256348,0.3081606675527598
7,0.3239788014761039,0.5924618244171143,0.938065767288208,0.7652637362480164,0.6915045380592346,0.715537965297699,0.7957744598388672,0.30618967360963945
8,0.3033928095442908,0.5689774751663208,0.9186997413635254,0.7438386678695679,0.6710749864578247,0.6458439230918884,0.8620964288711548,0.3059889719037241
9,0.29829801199691636,0.6056245565414429,0.9453743696212769,0.7754994034767151,0.7058266401290894,0.704903781414032,0.8250212073326111,0.29097403850602477
10,0.28881426336775934,0.6151343584060669,0.9475864171981812,0.781360387802124,0.7126158475875854,0.7463526129722595,0.7865964770317078,0.29417756263558803
11,0.27815099943961413,0.6127210259437561,0.9368498921394348,0.7747855186462402,0.711650013923645,0.7048018574714661,0.8368735909461975,0.2805004712978476
12,0.2755900439353926,0.6159458160400391,0.9470483660697937,0.781497061252594,0.7152175307273865,0.7116082310676575,0.8330153226852417,0.27583343805255073
13,0.2665546144757952,0.6252714991569519,0.954652726650238,0.789962112903595,0.7242982387542725,0.7614194750785828,0.7807352542877197,0.2944220903966772
14,0.25498383680092435,0.614307165145874,0.9430544972419739,0.7786808013916016,0.7140326499938965,0.7176949381828308,0.8260476589202881,0.2832540054805577
15,0.26108260657106125,0.6122310757637024,0.9418556094169617,0.7770434617996216,0.7128914594650269,0.6921901702880859,0.8573484420776367,0.2724772268219998
16,0.2604492282282029,0.6225020885467529,0.9481341242790222,0.7853180766105652,0.7211758494377136,0.721115231513977,0.8357012271881104,0.2715600830453791
17,0.25438166584021277,0.6022963523864746,0.9246705770492554,0.763483464717865,0.7015109658241272,0.7107337713241577,0.8323400020599365,0.30045230787149385
18,0.24670010736478226,0.607959508895874,0.9378141164779663,0.7728866934776306,0.7077198624610901,0.7050951719284058,0.8421695828437805,0.28219248991655677
19,0.2446383150294423,0.627832293510437,0.9505891799926758,0.7892107367515564,0.7271251082420349,0.7114076614379883,0.8515781164169312,0.26507442439661216
20,0.2346856308781675,0.6142293214797974,0.9406916499137878,0.777460515499115,0.7141812443733215,0.6942710876464844,0.8593313097953796,0.2695247449078842
21,0.23190430420850006,0.655468225479126,0.9537239670753479,0.8045961856842041,0.7526195049285889,0.7773650288581848,0.8100139498710632,0.2570967026986182
22,0.2251877472815769,0.620136559009552,0.9394457340240479,0.7797911167144775,0.7209460735321045,0.6983013153076172,0.8655015230178833,0.26529120168599646
23,0.223441704799022,0.6166232228279114,0.9394249320030212,0.7780240774154663,0.7157014608383179,0.7315233945846558,0.8262493014335632,0.2905160671982326
24,0.2233148065941142,0.6385425329208374,0.9478356242179871,0.7931891083717346,0.7379401326179504,0.7252585291862488,0.8573897480964661,0.25403158967138123
25,0.22076964892446996,0.6389985680580139,0.9537205696105957,0.7963595390319824,0.7373000979423523,0.7337955236434937,0.8436439633369446,0.26039263944288615
26,0.22285628415111985,0.6302829384803772,0.9478094577789307,0.7890462279319763,0.7300844192504883,0.7186658382415771,0.8526193499565125,0.255670360338531
27,0.21548077856722686,0.6547855138778687,0.955176055431366,0.8049808144569397,0.7515215277671814,0.7471573948860168,0.8460376262664795,0.24715012887884913
28,0.21083179895899126,0.6423768997192383,0.9449432492256165,0.793660044670105,0.7402194738388062,0.7438622117042542,0.841968297958374,0.2592757453063601
29,0.21058897335082294,0.6537360548973083,0.945952832698822,0.79984450340271,0.751624584197998,0.7506709694862366,0.8440679311752319,0.24561608335199325
30,0.2076828153591071,0.6632164120674133,0.9592366218566895,0.811226487159729,0.7587614059448242,0.7653813362121582,0.8372597098350525,0.2421457888068337
31,0.20857880042067595,0.6513232588768005,0.9470427632331848,0.7991829514503479,0.7512840628623962,0.7219372391700745,0.8768125176429749,0.23627049622959212
32,0.20560325022786854,0.660460889339447,0.9546406269073486,0.8075507879257202,0.7559111714363098,0.772371232509613,0.8283213973045349,0.24731582814925596
33,0.20770251213439872,0.6580700278282166,0.9538635015487671,0.8059667348861694,0.7548202276229858,0.7508753538131714,0.8515267968177795,0.23943554796278477
34,0.20085435862985573,0.6511595249176025,0.950931191444397,0.8010453581809998,0.7503575682640076,0.7308431267738342,0.8654760718345642,0.2445219440973903
35,0.20016598047954695,0.6541858315467834,0.9472890496253967,0.8007374405860901,0.7504851818084717,0.7422473430633545,0.8544360995292664,0.23706654879558636
36,0.20027527997536318,0.6534507870674133,0.9561710953712463,0.8048110008239746,0.7502837181091309,0.7517596483230591,0.8460820317268372,0.23977456741819256
37,0.19528339863621763,0.6604086756706238,0.9549045562744141,0.8076566457748413,0.755433976650238,0.7612882852554321,0.8431382179260254,0.23665442175574994
38,0.1888666381953018,0.6632645130157471,0.954831063747406,0.8090478777885437,0.7588105797767639,0.7605757117271423,0.8463128209114075,0.23289897607786483
